County,Population
Alameda,1685886
Alpine,1117
Amador,38531
Butte,217769
Calaveras,44289
Colusa,22593
Contra Costa,1160099
Del Norte,27558
El Dorado,193098
Fresno,1032227
Glenn,29348
Humboldt,134098
Imperial,191649
Inyo,18453
Kern,927251
Kings,156444
Lake,64871
Lassen,30065
Los Angeles,10257557
Madera,160089
Marin,260800
Mariposa,17795
Mendocino,88439
Merced,287420
Modoc,9475
Mono,13961
Monterey,448732
Napa,139652
Nevada,98710
Orange,3228519
Placer,400434
Plumas,18997
Riverside,2468145
Sacramento,1567975
San Benito,64022
San Bernardino,2217398
San Diego,3370418
San Francisco,892280
San Joaquin,782545
San Luis Obispo,278862
San Mateo,778001
Santa Barbara,456373
Santa Clara,1967585
Santa Cruz,273999
Shasta,177925
Sierra,3115
Siskiyou,43956
Solano,444255
Sonoma,496668
Stanislaus,562303
Sutter,105747
Tehama,65885
Trinity,13354
Tulare,484423
Tuolumne,52351
Ventura,852747
Yolo,223612
Yuba,79290
